YearValue,HydroID,Rain
2006,362564,958.7176193
2007,362564,851.9338899
2008,362564,1002.747528
2009,362564,848.4786777
2010,362564,730.129525
2011,362564,744.4907683
2012,362564,876.6393155
2009,361226,850.5426462
2010,361226,724.1234486
2011,361226,735.0995325
2012,361226,854.7592998
2013,361226,896.9253399
2014,361226,1077.307593
2015,361226,752.3661917
2016,361226,781.8975089
2017,361226,664.9289856
2018,361226,933.4627735
1990,362985,632.6071004
1991,362985,681.8677722
1992,362985,770.2617349
1993,362985,782.5338446
1994,362985,1065.461984
1995,362985,811.1221063
1996,362985,700.0742079
1997,362985,714.0816909
1998,362985,846.5250148
1999,362985,1103.752759
2000,362985,1127.599116
2001,362985,1021.533935
2002,362985,951.5109995
2003,362985,782.9259509
2004,362985,703.6307346
2005,362985,540.7334509
2006,362985,936.5400465
2011,362426,742.9641297
2012,362426,872.2045843
2013,362426,880.5452336
2014,362426,1069.724653
2015,362426,777.0128518
2016,362426,809.0876727
2017,362426,612.4073734
2018,362426,933.8114448
1990,362436,644.6289516
1991,362436,718.5766434
1992,362436,696.7281645
1993,362436,780.4695305
1994,362436,1089.229697
1995,362436,831.0065151
1996,362436,692.348168
1997,362436,695.8554847
1998,362436,862.4555835
1999,362436,1168.961728
2000,362436,1177.773067
2001,362436,1066.120813
2002,362436,1007.719129
2003,362436,831.3795913
2004,362436,733.6003639
2005,362436,578.7304968
2006,362436,959.3246355
2007,362436,851.9919572
2008,362436,1000.70049
2015,362751,778.2827968
2016,362751,810.5961124
2017,362751,611.5459883
2018,362751,934.1429239
1990,362778,644.545853
1991,362778,724.9528781
1992,362778,702.2570542
1993,362778,781.2133806
1994,362778,1090.726642
1995,362778,828.8162846
1996,362778,694.0203209
1997,362778,696.3400368
1998,362778,861.8163642
1999,362778,1169.864296
2000,362778,1177.689844
2001,362778,1063.512996
2002,362778,1005.105938
2003,362778,830.8408109
2004,362778,733.6864811
2005,362778,578.5697755
2006,362778,958.2399049
2007,362778,850.4992431
2008,362778,1002.345488
2009,362778,850.6149946
2010,362778,730.3748284
2011,362778,744.5461991
2012,362778,877.4392812
2015,362009,760.8034084
2016,362009,793.9154321
2017,362009,660.057293
2018,362009,936.9436897
1990,362069,642.252508
1991,362069,701.2917795
1992,362069,718.0709741
1993,362069,773.251678
1994,362069,1078.632294
1995,362069,820.4656963
1996,362069,688.2501927
